1 1478 94.86
2 1251 43.89
3 1813 108.28
4 1085 41.56
5 1731 70.84
6 1958 79.78
7 1243 77.11
8 1647 19.13
9 1261 132.30
10 1405 78.33
11 1497 55.14
12 1770 101.77
13 1503 20.50
14 1310 29.15
15 1864 117.93
16 1147 71.80
17 1767 46.68
18 1575 35.28
19 1914 8.32
20 1603 127.56
21 1520 36.86
22 1828 39.83
23 1727 138.11
24 1095 6.37
25 1916 63.28
26 1990 108.87
27 1303 139.53
28 1139 83.66
29 1647 96.84
30 1380 83.20
31 1986 126.71
32 1847 89.93
33 1810 119.97
34 1267 108.40
35 1308 68.18
36 1571 56.41
37 1937 39.70
38 1272 72.38
39 1989 130.87
40 1553 45.93
41 1177 117.90
42 1512 129.53
