1 1571 75.67
2 1457 133.92
3 1319 49.90
4 1098 105.96
5 1051 103.83
6 1407 85.99
7 1119 130.30
8 1180 83.70
9 1359 62.14
10 1304 147.44
11 1115 119.61
12 1119 108.37
13 1034 69.14
14 1047 106.17
15 1193 71.46
16 1371 50.50
17 1041 24.27
18 1248 16.75
19 1002 56.47
20 1593 116.72
21 1678 119.31
22 1183 143.37
23 1677 79.93
24 1977 139.90
25 1443 23.12
26 1081 15.27
27 1637 58.92
28 1268 148.70
29 1751 70.61
30 1988 116.69
31 1872 147.93
32 1572 104.64
33 1162 122.72
34 1597 45.98
35 1710 72.67
36 1459 14.48
37 1710 119.18
38 1934 145.13
39 1675 139.80
40 1638 74.58
